CL_FISCAL,Nome,UNIDADE,Estoque,Preco,VAL_TOTAL
33062000,0468376-BELLIZ FITA DENTAL KESS 50M MENTA,UN,6,946.0,5676.0
33062000,0548196-BELLIZ PASSA FIO C/35 UN,UN,5,592.0,2960.0
82032090,0447657-BELLIZ PINCA PARA CILIOS POSTICOS,UN,4,829.0,3316.0
96162000,0312302-BELLIZ PUFF DELUXE *551*,UN,7,1229.0,8603.0
21069030,0535310-BEMOVE C/30 COMP,UN,2,15518.0,31036.0
21069030,0553807-BEMOVE CURCUMA C/30 COMP,UN,1,26395.0,26395.0
30049099,0011938-BENALET PAST C/12 MEL-LIMAO,UN,8,3263.0,26104.0
30049099,0001552-BENALET PAST C/12 MENTA,UN,9,3263.0,29367.0
30049099,0209117-BENALET PAST C/4 F.V MEL-LIMAO,UN,46,1127.0,51842.0
21069030,0571891-BENDU CRISPY WAFER 40G COOKIES,UN,7,860.0,6020.0
21069030,0571880-BENDU CRISPY WAFER 40G DARK,UN,11,860.0,9460.0
21069030,0571927-BENDU SOFT BAR 45G CHOCOLATE BELGA,UN,11,730.0,8030.0
21069030,0571915-BENDU SOFT BAR 45G DARK,UN,11,730.0,8030.0
21069030,0571903-BENDU SOFT BAR 45G LEITE EM PO,UN,10,730.0,7300.0
35051000,0242184-BENEFIBER POTE 155G,UN,1,7655.0,7655.0
30049069,0185149-BENEGRIP 1X6 COMP F.V.,UN,18,1192.0,21456.0
30049099,0430013-BENEGRIP C/12 COMP,UN,4,2323.0,9292.0
30045090,0333852-BENEGRIP C/20 COMP,UN,4,3608.0,14432.0
30049045,0380876-BENEGRIP MULTI 240ML,UN,1,2898.0,2898.0
30049099,0513018-BENEGRIP MULTI DIA C/12 COMP,UN,3,2368.0,7104.0
30049099,0451210-BENEGRIP MULTI DIA C/20 COMP,UN,2,3190.0,6380.0
30049099,0451221-BENEGRIP MULTI NOITE C/20 COMP,UN,2,3155.0,6310.0
30045090,0001575-BENERVA 300MG C/30 COMP,UN,3,2734.0,8202.0
30049099,0263650-BENESTARE 625MG C/30 COMP,UN,2,5588.0,11176.0
30049037,0564630-BENGPRO AEROSSOL 60G,UN,2,3546.0,7092.0
30049037,0568089-BENGPRO GEL 60G,UN,2,4034.0,8068.0
30049079,0188873-BENICAR 20MG C/30 COMP,UN,4,6752.0,27008.0
30049079,0185200-BENICAR 40MG C/30 COMP,UN,4,7099.0,28396.0
30049079,0267490-BENICAR ANLO 20MG/5MG C/30 COMP,UN,2,7123.0,14246.0
30049079,0329641-BENICAR ANLO 40MG/10MG C/30 COMP,UN,1,8053.0,8053.0
30049079,0268069-BENICAR ANLO 40MG/5MG C/30 COMP,UN,3,8003.0,24009.0
"30049079,""0194405-BENICAR HCT 20+12,5MG C/30 COMP"",UN,2,7386.0,14772.0"
"30049079,""0196070-BENICAR HCT 40+12,5MG C/30 COMP"",UN,2,8414.0,16828.0"
30049079,0408782-BENICAR HCT 40+25MG C/30 COMP,UN,2,9039.0,18078.0
30049079,0565515-BENICAR ODT 20MG C/30 COMP,UN,1,6490.0,6490.0
"30049079,""0517567-BENICAR TRIPLO 20/5/12,5MG C/30 COMP"",UN,1,12302.0,12302.0"
30049066,0316679-BENZOILMETRONIDAZOL EMS 40MG/ML 120 M,UN,3,1167.0,3501.0
33049990,0387120-BEPANTOL BABY CREME 120G 100+20G GTS,UN,3,3095.0,9285.0
33049990,0273436-BEPANTOL BABY CREME 30G,UN,4,1030.0,4120.0
33049990,0339306-BEPANTOL BABY CREME MAXI 60G,UN,3,2254.0,6762.0
34011190,0480516-BEPANTOL BABY LENCO UMED C/48 UN,UN,8,1034.0,8272.0
33049990,0286972-BEPANTOL DERMA CREME 20G RESTAURADOR,UN,5,1633.0,8165.0
33049990,0559164-BEPANTOL DERMA CREME 20G ROSA MOSQUET,UN,4,1811.0,7244.0
33049910,0453165-BEPANTOL DERMA CREME 30G TOQUE SECO,UN,3,2276.0,6828.0
33072010,0510004-BEPANTOL DERMA GEL FACIAL 200ML LIMP.,UN,2,4750.0,9500.0
33049990,0510028-BEPANTOL DERMA HID 400ML RESTAURADOR,UN,1,5251.0,5251.0
"33049990,""0475871-BEPANTOL DERMA PROT.LABIAL 4,5G FPS50"",UN,4,1522.0,6088.0"
"33049910,""0362550-BEPANTOL DERMA REGENERADOR LABIAL 7,5"",UN,4,1681.0,6724.0"
33049990,0286984-BEPANTOL DERMA SOLUCAO 50ML,UN,2,1788.0,3576.0
33049990,0387132-BEPANTOL DERMA SOLUCAO 50ML SPRAY,UN,3,1913.0,5739.0
33049910,0556443-BEPANTOL TATTOO CREME 30G RESTAURADOR,UN,1,2388.0,2388.0
30039019,0274482-BEPANTRIZ POMADA 30G,UN,3,485.0,1455.0
30049039,0001665-BEROTEC 100MCG AERO.10ML,UN,1,2611.0,2611.0
30049037,0011943-BESEROL C/12 COMP,UN,3,2020.0,6060.0
30039099,0518810-BESILATO ANLODIPINO CIMED 5MG C/30 CO,UN,2,176.0,352.0
30049099,0172506-BESILATO ANLODIPINO MEDLEY 10MG C/30C,UN,4,2888.0,11552.0
30049099,0163251-BESILATO ANLODIPINO MEDLEY 5MG C/30 C,UN,11,286.0,3146.0
"30049069,""0565356-BESILATO LEVANLODIPINO BIOLAB 2,5MG C"",UN,1,2365.0,2365.0"
30049069,0369488-BETADINE 24MG C/30 COMP,UN,2,3346.0,6692.0
30049069,0485964-BETADINE XR 32MG C/30 COMP,UN,1,5083.0,5083.0
"30043999,""0539588-BETAMETASONA EMS 0,1MG/ML ELIXIR 120M"",UN,1,2141.0,2141.0"
30049039,0203015-BETASERC 24MG C/30 COMP,UN,1,5567.0,5567.0
30043999,0211616-BETATRINTA INJ AMP.1ML,UN,1,2451.0,2451.0
30049069,0438976-BETINA 24MG C/30 COMP,UN,1,2935.0,2935.0
30049036,0001701-BETNOVATE CAPILAR 50G,UN,2,7407.0,14814.0
30049036,0001703-BETNOVATE CREME 30G,UN,2,3518.0,7036.0
30049036,0001706-BETNOVATE POMADA 30G,UN,1,3695.0,3695.0
30043939,0467062-BETOGENTA CREME DERM 30G,UN,3,637.0,1911.0
30043939,0548221-BETOGENTA POMADA DERM 30G,UN,2,788.0,1576.0
30049099,0458796-BETRAT 500MCG C/42 COMP,UN,1,8892.0,8892.0
30049039,0514577-BEXAI 35MG C/10 CAPS DURA,UN,1,6377.0,6377.0
30049039,0475846-BEXAI 35MG C/20 CAPS DURA,UN,2,11766.0,23532.0
30049049,0305418-BEZAFIBRATO EMS 200MG C/20 COMP,UN,1,3247.0,3247.0
30049029,0001719-BI-PROFENID 150MG C/10 COMP,UN,3,6814.0,20442.0
96131000,0455733-BIC ISQUEIRO G,UN,20,504.0,10080.0
30049099,0297683-BICARBONATO SODIO FARMAX 100G,UN,24,451.0,10824.0
30049029,0474630-BICERTO 150MG C/10 COMP,UN,1,4428.0,4428.0
21069030,0515794-BIFILAC GEFLORA C/14 STIKS,UN,1,6940.0,6940.0
21069030,0552580-BIFILAC LIPID C/30 CAPS,UN,1,8526.0,8526.0
21069030,0544833-BIFILAC MIND C/30 CAPS,UN,1,8526.0,8526.0
21069030,0544808-BIFILAC SII C/30 CAPS,UN,2,12932.0,25864.0
96190000,0487420-BIGFRAL ABSORVENTE REGULAR C/20 UN,UN,1,1467.0,1467.0
96190000,0483543-BIGFRAL DERMA PLUS C/07 EG,UN,9,2393.0,21537.0
96190000,0483531-BIGFRAL DERMA PLUS C/07 G,UN,10,2325.0,23250.0
96190000,0570503-BIGFRAL DERMA PLUS C/14 XG,UN,6,4979.0,29874.0
96190000,0258600-BIGFRAL PLUS NOTURNA C/07 G,UN,7,2731.0,19117.0
96190000,0303608-BIGFRAL PLUS NOTURNA C/08 M,UN,7,2740.0,19180.0
34011190,0268888-BIGFRAL TOALHAS UMEDECIDAS C/40,UN,10,1177.0,11770.0
30049069,0500558-BILASTINA EURO 20MG C/15 COMP,UN,2,2246.0,4492.0
"30049099,""0546447-BIMATOPROSTA EMS 0,3MG/ML COL 3ML"",UN,1,3555.0,3555.0"
33059000,0540382-BIO EXTRATUS BANHO CREME 250G POS COL,UN,1,2484.0,2484.0
33059000,0531334-BIO EXTRATUS COND.250ML ANTICASPA,UN,2,2493.0,4986.0
33059000,0524390-BIO EXTRATUS COND.250ML POS QUIMICA,UN,2,2682.0,5364.0
33059000,0524389-BIO EXTRATUS CR.TRAT 250G POS QUIMICA,UN,1,2484.0,2484.0
21069090,0544161-BIO GG C/7 CAPS,VD,1,4216.0,4216.0
33059000,0543740-BIOCOLOR HOMEM TONALIZANTE LOURO ESCU,UN,1,2132.0,2132.0
33059000,0539150-BIOCOLOR HOMEM TONALIZANTE PRETO,UN,1,2129.0,2129.0
33059000,0540530-BIOCOLOR HOMEM TONALIZANTE REDUCAO GR,UN,4,2143.0,8572.0
34013000,0571719-BIODERMA SENSIBIO MICELAR 100ML P.SEN,UN,2,2907.0,5814.0
33049910,0456986-BIODERMA SENSIBIO MICELAR 250ML P.SEN,UN,1,8229.0,8229.0
30049037,0098189-BIOFENAC AEROSOL 60G/85ML,UN,4,3271.0,13084.0
30049037,0417280-BIOFENAC DI 50MG C/20 COMP,UN,1,3266.0,3266.0
30049037,0410779-BIOFENAC GEL 30G,UN,1,1598.0,1598.0
34011190,0543946-BIONATURE SABONETE 90G AROEIRA,UN,3,449.0,1347.0
21069030,0459292-BIOTINA DUOM C/60 CAPS,UN,3,1309.0,3927.0
21069030,0562270-BIOTTA 25BI C/10 CAPS,UN,1,7683.0,7683.0
21069030,0570870-BIOTTA 25BI C/30 CAPS,UN,1,19231.0,19231.0
30024999,0567081-BIOVICERIN C/2 FLACONETES,UN,3,1141.0,3423.0
30049099,0537131-BIOVICERIN C/6 FLACONETES,UN,2,2934.0,5868.0
"21069030,""0397580-BIOZINC KIDS 2MG/0,5ML 75ML"",UN,1,3120.0,3120.0"
30042029,0242037-BISMU-JET SOLUCAO 20ML,UN,7,1571.0,10997.0
